Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES
307,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,262,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
311,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,266,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
313,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,268,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
314,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,269,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
321,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,276,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
323,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,278,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
327,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,282,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
329,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,284,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
330,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,285,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
337,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,292,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
339,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,294,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
340,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,295,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
342,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,297,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
344,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,299,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
345,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,300,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
352,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,307,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
354,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,309,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
355,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,310,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
357,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,312,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
359,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,314,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
