Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES
90,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,49,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
97,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,56,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
99,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,58,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
100,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,59,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
102,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,61,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
104,"void tmac_gemv_direct<(ggml_type)14, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,63,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792d3c0,512
105,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,64,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
112,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,71,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
114,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,73,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
115,"void tmac_gemv_direct<(ggml_type)14, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,74,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792d380,2048
